loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,Reason,addr_state
15750, 36 months,6.62%,A,A2,Childrens Hospital of Wisconsin,3 years,MORTGAGE,54000,Source Verified,11/1/2011,Fully Paid,medical,IL
4800, 36 months,8.90%,A,A5,"amco,inc",6 years,OWN,42000,Not Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,AL
16000, 36 months,7.90%,A,A4,Meyers Development,8 years,RENT,70000,Verified,11/1/2011,Fully Paid,Debt Consolidation,NJ
24000, 60 months,19.91%,E,E4,Hilton Worldwide,10+ years,MORTGAGE,62000,Verified,11/1/2011,Fully Paid,debt consolidation,CA
15000, 36 months,12.42%,B,B4,Verio,2 years,RENT,180000,Source Verified,11/1/2011,Fully Paid,House Loan,FL
28000, 36 months,7.90%,A,A4,Rex Healthcare,2 years,RENT,65000,Verified,11/1/2011,Fully Paid,Credit Card Consolidation,NC
6000, 36 months,7.90%,A,A4,Citysports,3 years,OWN,30000,Source Verified,11/1/2011,Fully Paid,Personal,MA
8000, 36 months,9.91%,B,B1,Time Warner Cable,6 years,RENT,32000,Verified,11/1/2011,Fully Paid,Medical Loan,NY
20000, 36 months,14.27%,C,C2,Kaiser Permanente,3 years,MORTGAGE,234000,Source Verified,11/1/2011,Fully Paid,Engagement Ring,CA
3000, 36 months,8.90%,A,A5,Walmart Distribution Center,10+ years,MORTGAGE,60000,Not Verified,11/1/2011,Fully Paid,Home_Improvement Loan,IL
20000, 60 months,20.30%,E,E5,SES,10+ years,MORTGAGE,84000,Verified,11/1/2011,Charged Off,Need a better rate than my credit card,AZ
16000, 36 months,17.58%,D,D4,CarolinaEast Medical Center,3 years,RENT,50000,Source Verified,11/1/2011,Fully Paid,debit,NC
2000, 36 months,12.69%,B,B5,,n/a,RENT,24000,Not Verified,11/1/2011,Charged Off,Car Repair,NY
10000, 36 months,6.62%,A,A2,HealthSouth Rehab Hospital,1 year,MORTGAGE,75000,Verified,11/1/2011,Fully Paid,Business Loan,AL
12000, 60 months,12.69%,B,B5,Cherokee Nation ,10+ years,MORTGAGE,48000,Not Verified,11/1/2011,Fully Paid,big move,OK
35000, 60 months,19.91%,E,E4,,10+ years,OWN,204000,Verified,11/1/2011,Fully Paid,debt consolidation,KS
35000, 36 months,11.71%,B,B3,Anglepoint,3 years,MORTGAGE,250000,Verified,11/1/2011,Fully Paid,test,CA
25000, 60 months,22.35%,F,F5,Yukon Flats School District,8 years,MORTGAGE,66362.04,Verified,11/1/2011,Charged Off,Freedom,AK
35000, 60 months,20.30%,E,E5,American Interceptors,5 years,RENT,82000,Verified,11/1/2011,Charged Off,Small Business Loan,FL
17100, 60 months,14.27%,C,C2,MLB Network,3 years,MORTGAGE,94000,Verified,11/1/2011,Fully Paid,Debt loan,NJ
20000, 60 months,11.71%,B,B3,Platinum Group of Companies,1 year,RENT,179000,Verified,11/1/2011,Fully Paid,Loan Refinance,CA
12000, 60 months,17.27%,D,D3,Vision Graphics Inc,5 years,MORTGAGE,65000,Verified,11/1/2011,Fully Paid,Debt Consolidation,CO
10000, 36 months,6.03%,A,A1,Park Nicollet Methodist Hospital,2 years,MORTGAGE,40000,Verified,11/1/2011,Fully Paid,Debt Consolidation,MN
20000, 60 months,11.71%,B,B3,,6 years,MORTGAGE,48000,Verified,11/1/2011,Fully Paid,Home Improvement Loan,MA
4500, 36 months,11.71%,B,B3,Heath Tecna,4 years,RENT,48000,Source Verified,11/1/2011,Fully Paid,debt,WA
3200, 36 months,11.71%,B,B3,Cargill,10+ years,MORTGAGE,81100,Source Verified,11/1/2011,Fully Paid,credit card consolidation,KS
14000, 36 months,7.90%,A,A4,VILLAGE OF RICHTON PARK,9 years,RENT,37947,Source Verified,11/1/2011,Fully Paid,credit card consolidation,IL
21000, 60 months,21.67%,F,F3,Southern Elevator,3 years,MORTGAGE,120000,Verified,11/1/2011,Fully Paid,Debt Consolidation,NC
20000, 36 months,11.71%,B,B3,OMNI Home Care ,1 year,RENT,70000,Verified,11/1/2011,Fully Paid,Consolidation ,FL
20000, 60 months,13.49%,C,C1,Merrill Lynch,10+ years,OWN,300000,Verified,11/1/2011,Fully Paid,Debt Consolidation,NJ
10800, 36 months,12.42%,B,B4,RewardsNOW,4 years,MORTGAGE,86000,Source Verified,11/1/2011,Fully Paid,CC Debt Pay Off,NH
15875, 60 months,17.58%,D,D4,Cobham Composites,3 years,RENT,32400,Verified,11/1/2011,Charged Off,Small_Business Loan,CA
14500, 36 months,7.90%,A,A4,General Motors LLC,5 years,RENT,162000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,CT
15000, 36 months,11.71%,B,B3,usaf,4 years,MORTGAGE,53808,Source Verified,11/1/2011,Fully Paid,outofdebtgoal,AR
15000, 36 months,14.27%,C,C2,colrado clean-up,10+ years,MORTGAGE,67200,Verified,11/1/2011,Fully Paid,operating capitol,CO
16000, 60 months,12.69%,B,B5,Goodrich Corporation,10+ years,RENT,70000,Not Verified,11/1/2011,Fully Paid,Lending Club 1,MN
12000, 36 months,9.91%,B,B1,BCD Travel,7 years,MORTGAGE,47500,Source Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,MN
4000, 36 months,6.62%,A,A2,Denbury Resources,5 years,MORTGAGE,190000,Verified,11/1/2011,Fully Paid,Miscellaneous,TX
28000, 60 months,20.30%,E,E5,Bell Ford,10+ years,RENT,55000,Source Verified,11/1/2011,Fully Paid,A Step In The Right Direction,AZ
3500, 36 months,6.03%,A,A1,Fiserv,7 years,MORTGAGE,37980,Source Verified,11/1/2011,Fully Paid,Major Purchase Loan,GA
12000, 36 months,6.62%,A,A2,ATC Healthcare,< 1 year,RENT,38000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,FL
6800, 36 months,9.91%,B,B1,jetblue airways,4 years,RENT,53000,Source Verified,11/1/2011,Fully Paid,car,NY
35000, 60 months,19.42%,E,E3,Big Girls Bras,10+ years,MORTGAGE,110000,Source Verified,11/1/2011,Charged Off,Small_Business Loan,FL
10925, 36 months,12.69%,B,B5,Christie Pabarue Mortensen & Young,4 years,MORTGAGE,96000,Source Verified,11/1/2011,Fully Paid,Credit Pay Down Loan,NJ
8650, 36 months,8.90%,A,A5,"Kaufman, Rossin & Co.",10+ years,MORTGAGE,60000,Verified,11/1/2011,Fully Paid,Personal Loan,FL
3500, 36 months,8.90%,A,A5,beth israel hospital,5 years,RENT,59000,Not Verified,11/1/2011,Fully Paid,Medical Loan,NY
35000, 36 months,10.65%,B,B2,H WEISS ,7 years,MORTGAGE,90000,Verified,11/1/2011,Fully Paid,debt consolidation loan,NY
15000, 60 months,10.65%,B,B2,,6 years,MORTGAGE,200000,Verified,11/1/2011,Fully Paid,Major Purchase Loan,MI
4950, 36 months,7.90%,A,A4,Walgreens,3 years,OWN,13200,Source Verified,11/1/2011,Fully Paid, payment,TX
10000, 36 months,14.27%,C,C2,"Terp et al, LLC",10+ years,RENT,90000,Verified,11/1/2011,Charged Off,Business Expansion,CA
10000, 36 months,7.90%,A,A4,La county sanitation district,4 years,RENT,66000,Not Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,CA
4800, 36 months,12.69%,B,B5,Wilmette Park District,6 years,RENT,33000,Not Verified,11/1/2011,Fully Paid,Payoff Credit Card,IL
3200, 36 months,13.49%,C,C1,us army,10+ years,MORTGAGE,78000,Source Verified,11/1/2011,Fully Paid,Putting it all together,GA
10575, 60 months,11.71%,B,B3,colorado natural meats,3 years,MORTGAGE,50000,Verified,11/1/2011,Fully Paid,lowerapr,CO
3000, 36 months,9.91%,B,B1,American Eagle Paper Mill,5 years,MORTGAGE,34800,Not Verified,11/1/2011,Fully Paid,personal,PA
2850, 36 months,15.27%,C,C4,home depot,3 years,RENT,19200,Verified,11/1/2011,Fully Paid,Credit Cards,PA
6000, 36 months,14.27%,C,C2,Allin Interactive,10+ years,MORTGAGE,195000,Source Verified,11/1/2011,Fully Paid,X-Mas Loan,FL
2500, 36 months,11.71%,B,B3,GEICO,10+ years,MORTGAGE,67000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,VA
15000, 36 months,16.77%,D,D2,mix1 (TRI-US),3 years,MORTGAGE,133000,Verified,11/1/2011,Fully Paid,Credit Card Loan,CO
12500, 60 months,17.58%,D,D4,at&t,10+ years,RENT,74400,Verified,11/1/2011,Fully Paid,get out of debt,FL
14000, 36 months,7.90%,A,A4,US Coast Guard,10+ years,RENT,72000,Source Verified,11/1/2011,Fully Paid,debt free,FL
3700, 36 months,15.96%,C,C5,"cox,kliewer & company,pc",1 year,RENT,40000,Not Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,VA
3000, 36 months,7.90%,A,A4,"CRI Industries, Inc.",< 1 year,RENT,18000,Source Verified,11/1/2011,Fully Paid,moving loan,PA
1800, 36 months,14.65%,C,C3,Burt Wealth Advisors,8 years,MORTGAGE,70000,Not Verified,11/1/2011,Fully Paid,Debt payoff,MD
5000, 36 months,8.90%,A,A5,Optimus Editorial,< 1 year,RENT,35000,Source Verified,11/1/2011,Fully Paid,Nordstrom Card,MN
13600, 36 months,7.90%,A,A4,Grunley Construction,2 years,RENT,88000,Not Verified,11/1/2011,Fully Paid,Credit Card Debt,MA
32875, 60 months,19.42%,E,E3,us army,10+ years,MORTGAGE,87600,Verified,11/1/2011,Fully Paid,Get out of debt,TX
10000, 36 months,12.42%,B,B4,InfoGard Laboratories,3 years,RENT,78000,Source Verified,11/1/2011,Fully Paid,PayOffParents,CA
20000, 60 months,13.49%,C,C1,Universal Technical Institute,3 years,RENT,84000,Verified,11/1/2011,Fully Paid,Debt Consolidation,CA
21100, 36 months,8.90%,A,A5,Sierra Business Council,2 years,MORTGAGE,72000,Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,CA
12000, 36 months,10.65%,B,B2,Sailfish Marina and Resort,2 years,RENT,42000,Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,FL
20000, 60 months,10.65%,B,B2,Emulex Corporation,6 years,MORTGAGE,133000,Verified,11/1/2011,Fully Paid,Consolidation Loan,CA
10000, 36 months,6.62%,A,A2,MontroseBank,8 years,OWN,85000,Not Verified,11/1/2011,Fully Paid,Debt Free in 3,CO
24000, 60 months,17.27%,D,D3,General Electric,3 years,MORTGAGE,106000,Source Verified,11/1/2011,Fully Paid,Business 1 Loan,KY
15000, 36 months,6.03%,A,A1,stevens tech ,10+ years,RENT,50000,Verified,11/1/2011,Fully Paid,debt consolidation ,NJ
5000, 36 months,13.49%,C,C1,Evolution Film & Tape,3 years,RENT,38400,Not Verified,11/1/2011,Fully Paid,BofA cc balance transfer,CA
8000, 36 months,16.77%,D,D2,First Financial Bank,6 years,RENT,40000,Not Verified,11/1/2011,Charged Off,Debt Consolidation Loan,OH
16000, 36 months,6.03%,A,A1,Parsons Brinckerhoff,10+ years,MORTGAGE,98000,Not Verified,11/1/2011,Fully Paid,Home Imp,MA
21000, 36 months,7.90%,A,A4,Oxnard Elementary School District,10+ years,RENT,79000,Verified,11/1/2011,Fully Paid,Home_Improvement Loan,CA
4000, 36 months,10.65%,B,B2,Depository Trust Co.,10+ years,MORTGAGE,300000,Source Verified,11/1/2011,Fully Paid,short loan,FL
4400, 36 months,11.71%,B,B3,City of Livermore,10+ years,MORTGAGE,120000,Verified,11/1/2011,Fully Paid,FInal Debt Consolidation,CA
12000, 60 months,13.49%,C,C1,BCBG MAXAZRIA Group,< 1 year,RENT,100000,Source Verified,11/1/2011,Charged Off,Home repair flood damage in Thailand,CA
15000, 36 months,6.03%,A,A1,Deutsche Bank,< 1 year,MORTGAGE,57500,Source Verified,11/1/2011,Fully Paid,Wedding Loan,FL
7000, 36 months,14.65%,C,C3,Invensys Operations Management,< 1 year,RENT,50000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,CA
4000, 60 months,15.27%,C,C4,SunnySide Nursing Center,9 years,RENT,19200,Not Verified,11/1/2011,Fully Paid,car,CA
7750, 36 months,12.69%,B,B5,Walgreens,8 years,MORTGAGE,29000,Verified,11/1/2011,Fully Paid,7750,GA
11500, 36 months,8.90%,A,A5,"KRK Holdings, Inc",6 years,MORTGAGE,55000,Verified,11/1/2011,Fully Paid,Debt Consolidation,WV
22750, 60 months,17.58%,D,D4,Buss Paint & Wallpaper,10+ years,MORTGAGE,45000,Verified,11/1/2011,Fully Paid,Debt Consolidation,PA
18000, 36 months,11.71%,B,B3,Wells Fargo Financial,< 1 year,RENT,85000,Verified,11/1/2011,Fully Paid,All for ONE Bill,NY
12000, 60 months,12.42%,B,B4,Kum & Go,7 years,MORTGAGE,39481,Not Verified,11/1/2011,Fully Paid,Pay off credit cards,MO
15000, 36 months,15.27%,C,C4,Palmateer Insurance,1 year,RENT,30000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,MI
35000, 60 months,19.91%,E,E4,Parallels,1 year,RENT,300000,Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,FL
25000, 60 months,11.71%,B,B3,SUBURBAN LOCK SERVICE,10+ years,MORTGAGE,75000,Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,IL
22000, 36 months,11.71%,B,B3,Comcast,3 years,RENT,84000,Verified,11/1/2011,Fully Paid,Refinance current debt for lower rate,PA
25600, 60 months,14.27%,C,C2,JWT,4 years,RENT,86000,Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,NY
9000, 36 months,6.62%,A,A2,cintas,4 years,MORTGAGE,54000,Not Verified,11/1/2011,Fully Paid,consolidate,NY
9500, 36 months,11.71%,B,B3,Southern California Edison,2 years,MORTGAGE,90000,Verified,11/1/2011,Fully Paid,Refi Prior Loan ,CA
11200, 36 months,11.71%,B,B3,Citizen Relations,3 years,RENT,78402,Not Verified,11/1/2011,Fully Paid,Credit Card Consolidation ,CA
16000, 60 months,19.42%,E,E3,Komar,1 year,MORTGAGE,60000,Verified,11/1/2011,Fully Paid,Debt consoidation,OK
4000, 36 months,7.90%,A,A4,The Fellowship of St. James,6 years,RENT,45000,Verified,11/1/2011,Fully Paid,Credit Card Payoff,IL
8000, 36 months,19.42%,E,E3,Medline Industries Inc,3 years,RENT,30000,Source Verified,11/1/2011,Fully Paid,Dent Consolidation,IL
14000, 60 months,13.49%,C,C1,Joe Marina,10+ years,MORTGAGE,45000,Verified,11/1/2011,Charged Off,my loan,OK
6000, 36 months,14.27%,C,C2,J Morita USA,5 years,MORTGAGE,180000,Source Verified,11/1/2011,Fully Paid,Billpayoff,CA
16000, 36 months,16.77%,D,D2,JERAM MARKETING,10+ years,MORTGAGE,144000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,PA
21000, 60 months,12.69%,B,B5,,10+ years,MORTGAGE,75000,Verified,11/1/2011,Fully Paid,small business,NC
10000, 36 months,9.91%,B,B1,Raytheon,1 year,RENT,45000,Not Verified,11/1/2011,Fully Paid,Credit Card Loan,FL
12000, 36 months,10.65%,B,B2,Arkansas Heart hospital,3 years,MORTGAGE,60000,Not Verified,11/1/2011,Fully Paid,Credit Card Loan,AR
17200, 36 months,14.27%,C,C2,Military.com,< 1 year,RENT,75000,Source Verified,11/1/2011,Fully Paid,Consolidate credit card debt,CA
12000, 36 months,14.65%,C,C3,M-K Distributing,10+ years,MORTGAGE,88000,Verified,11/1/2011,Fully Paid,Sunroom doors,MO
18250, 60 months,13.49%,C,C1,Lowndes Co Sheriff Office,10+ years,MORTGAGE,45000,Verified,11/1/2011,Charged Off,debt consolidation,GA
3000, 36 months,12.42%,B,B4,Appalachian State University,< 1 year,RENT,43500,Verified,11/1/2011,Fully Paid,3K,NC
6700, 36 months,8.90%,A,A5,Camp Venture,3 years,MORTGAGE,22080,Not Verified,11/1/2011,Fully Paid,Credit Card Refinancing,NY
10000, 36 months,6.62%,A,A2,Los Angeles Film School,10+ years,MORTGAGE,91154,Verified,11/1/2011,Fully Paid,Legal Defence Loan,CA
23500, 36 months,13.49%,C,C1,Liberty Investment Properties,< 1 year,MORTGAGE,48000,Verified,11/1/2011,Fully Paid,Debt consolidation,FL
3000, 36 months,12.69%,B,B5,bellagio hotel,10+ years,MORTGAGE,47000,Verified,11/1/2011,Fully Paid,countertops,NV
35000, 60 months,19.42%,E,E3,us mortgage corp,3 years,MORTGAGE,180000,Verified,11/1/2011,Fully Paid,family first,NY
25000, 36 months,7.90%,A,A4,Abbott Laboratories,4 years,MORTGAGE,118000,Verified,11/1/2011,Fully Paid,Home Improvement,GA
11050, 36 months,12.69%,B,B5,American Pacific ISP,2 years,RENT,120000,Not Verified,11/1/2011,Fully Paid,Payoff high rate cards,CA
11200, 36 months,14.27%,C,C2,Citigroup,10+ years,OWN,46000,Source Verified,11/1/2011,Fully Paid,Bye-Bye Debt,TX
3000, 36 months,19.91%,E,E4,State of california,10+ years,MORTGAGE,71760,Not Verified,11/1/2011,Fully Paid,other,CA
8000, 36 months,7.90%,A,A4,,6 years,RENT,75000,Verified,11/1/2011,Fully Paid,car&cards,NY
12000, 60 months,14.27%,C,C2,Hill Wallack,5 years,RENT,53100,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,NJ
8000, 36 months,14.27%,C,C2,Varian Medical Systems,10+ years,MORTGAGE,110000,Verified,11/1/2011,Fully Paid,Engagement ring,NV
8000, 36 months,12.69%,B,B5,Quiktrip,2 years,MORTGAGE,40000,Not Verified,11/1/2011,Charged Off,debt consolidation loan,MO
6000, 36 months,6.62%,A,A2,United States Air Force Academy,3 years,RENT,24000,Source Verified,11/1/2011,Fully Paid,Other,CO
8500, 36 months,14.27%,C,C2,greenlandmarket food court,2 years,RENT,18000,Verified,11/1/2011,Fully Paid,credit card refinance loan,NV
14000, 36 months,7.90%,A,A4,Go Daddy Inc,1 year,MORTGAGE,111239.96,Verified,11/1/2011,Fully Paid,Credit Card Refi,AZ
18000, 36 months,7.90%,A,A4,Phoenix Health System,3 years,MORTGAGE,46000,Not Verified,11/1/2011,Fully Paid,Pay It Off,HI
3650, 36 months,9.91%,B,B1,trinity temple preschool and day care,1 year,MORTGAGE,12960,Source Verified,11/1/2011,Fully Paid,personal loan,VA
22575, 60 months,20.89%,F,F1,virginia auto center,< 1 year,MORTGAGE,84000,Verified,11/1/2011,Charged Off,personal,MD
35000, 60 months,15.96%,C,C5,,10+ years,MORTGAGE,102158,Verified,11/1/2011,Fully Paid,Finance  autos,FL
16000, 60 months,19.03%,E,E2,aris inc,10+ years,RENT,75000,Source Verified,11/1/2011,Fully Paid,debt consolidation loan,CA
2400, 36 months,9.91%,B,B1,,n/a,RENT,8280,Not Verified,11/1/2011,Fully Paid,take that 29%interest,NC
20000, 60 months,14.27%,C,C2,Inserra Supermarkets,10+ years,MORTGAGE,102000,Verified,11/1/2011,Charged Off,Business Loan,NJ
8000, 36 months,14.27%,C,C2,ECOM Consulting Inc,3 years,RENT,90000,Verified,11/1/2011,Fully Paid,debt consolidation loan,CT
24000, 60 months,12.69%,B,B5,Agent,5 years,MORTGAGE,94000,Verified,11/1/2011,Fully Paid,Auto body shop,CA
35000, 60 months,11.71%,B,B3,MARTINREA INTERNATIONAL,4 years,RENT,80000,Verified,11/1/2011,Fully Paid,DEBT REDUCTION,IL
17000, 60 months,18.64%,E,E1,,10+ years,OWN,70000,Source Verified,11/1/2011,Fully Paid,debt consolidation loan,TX
12500, 36 months,19.03%,E,E2,Halliburton Oilfield Services,10+ years,MORTGAGE,96000,Not Verified,11/1/2011,Fully Paid,Medical,TX
12000, 60 months,18.25%,D,D5,,n/a,RENT,24000,Verified,11/1/2011,Charged Off,debt consolidation loan,CO
6400, 36 months,8.90%,A,A5,US Army National Guard,n/a,RENT,35000,Source Verified,11/1/2011,Fully Paid,Wedding Loan,AZ
2400, 36 months,14.65%,C,C3,Media Planning Group,1 year,RENT,35000,Not Verified,11/1/2011,Fully Paid,Personal loan,NY
5000, 36 months,8.90%,A,A5,TPG Capital,6 years,MORTGAGE,140000,Source Verified,11/1/2011,Fully Paid,$5K Refi,TX
20000, 36 months,12.42%,B,B4,Sodexo,3 years,RENT,110000,Verified,11/1/2011,Fully Paid,Debt consolidation,CA
6000, 36 months,9.91%,B,B1,rachlin managemet,10+ years,RENT,45000,Not Verified,11/1/2011,Fully Paid,personal utilities,NY
11500, 36 months,12.42%,B,B4,OCO Architects,4 years,RENT,50000,Verified,11/1/2011,Fully Paid,Credit Card Consolidation,TX
25000, 36 months,9.91%,B,B1,Millenium Partners,3 years,RENT,66000,Source Verified,11/1/2011,Fully Paid,Less Bills loan,FL
5300, 36 months,14.65%,C,C3,State of Michigan,10+ years,RENT,43218,Verified,11/1/2011,Fully Paid,Credit Card,MI
6400, 60 months,18.25%,D,D5,akrons children hospitial,5 years,RENT,33000,Source Verified,11/1/2011,Charged Off,loan,OH
16000, 60 months,15.27%,C,C4,Lord & Taylor,5 years,RENT,43000,Verified,11/1/2011,Fully Paid,debt consolidation loan,NY
20375, 60 months,17.27%,D,D3,Colbond Inc,5 years,MORTGAGE,62510,Verified,11/1/2011,Fully Paid,Consolidation,NC
15000, 36 months,14.65%,C,C3,Clinical Pathology Labs,2 years,MORTGAGE,75000,Source Verified,11/1/2011,Fully Paid,Credit Card Refinance,TX
30000, 60 months,22.35%,F,F5,Star-Luck Enterprise Inc.,1 year,RENT,290000,Source Verified,11/1/2011,Fully Paid,Consolidation Loan,TX
21600, 36 months,7.51%,A,A3,City of Tumwater,2 years,MORTGAGE,70000,Verified,11/1/2011,Fully Paid,Student loan payoff,WA
21000, 60 months,14.27%,C,C2,Riverside County,10+ years,MORTGAGE,83400,Verified,11/1/2011,Fully Paid,Debt Consolidation,CA
35000, 60 months,12.42%,B,B4,Lafayette State Bank,2 years,MORTGAGE,61200,Verified,11/1/2011,Fully Paid,debt consolidation loan,FL
12000, 60 months,17.27%,D,D3,"Bankruptcy Advantage, LLC",2 years,RENT,82500,Source Verified,11/1/2011,Fully Paid,Loan for Consolidation,CA
5000, 36 months,8.90%,A,A5,Unifoil,< 1 year,RENT,42000,Source Verified,11/1/2011,Fully Paid,debt consolidation loan,NJ
24000, 36 months,7.90%,A,A4,,4 years,MORTGAGE,115000,Verified,11/1/2011,Fully Paid,Consolidation,TX
4500, 36 months,6.62%,A,A2,Harker Middle School,< 1 year,RENT,36000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,CA
3500, 36 months,15.27%,C,C4,"Teletrac, inc",1 year,RENT,26400,Not Verified,11/1/2011,Fully Paid,Credit card loan,CA
5000, 60 months,15.27%,C,C4,AVW Technologies,4 years,MORTGAGE,96000,Verified,11/1/2011,Fully Paid,Car Loan ,VA
2500, 36 months,14.65%,C,C3,Bob's Stores,10+ years,RENT,48000,Source Verified,11/1/2011,Fully Paid,debt consolidation loan,RI
20000, 60 months,22.35%,F,F5,NOVA,8 years,RENT,73000,Verified,11/1/2011,Charged Off,Debt Consolidation ,VA
5000, 36 months,10.65%,B,B2,Spectrum Health Medical Group,2 years,MORTGAGE,34000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,MI
4000, 36 months,11.71%,B,B3,,n/a,RENT,25000,Source Verified,11/1/2011,Fully Paid,metpayoff,NY
9325, 60 months,11.71%,B,B3,,4 years,MORTGAGE,46000,Verified,11/1/2011,Fully Paid,Small_Business Loan,TX
21600, 36 months,15.27%,C,C4,Packaging Dynamics,4 years,MORTGAGE,96000,Verified,11/1/2011,Charged Off,Debt Consolidation,GA
10000, 36 months,12.69%,B,B5,Dallas Police,1 year,MORTGAGE,110000,Not Verified,11/1/2011,Fully Paid,Back to 0,TX
6000, 36 months,6.62%,A,A2,,n/a,RENT,21640,Verified,11/1/2011,Charged Off,medical,KS
20000, 60 months,12.42%,B,B4,CRICO RMF,2 years,MORTGAGE,120000,Verified,11/1/2011,Fully Paid,Consolidated,MA
24000, 36 months,7.90%,A,A4,Pricewaterhouse Coopers,4 years,RENT,85000,Verified,11/1/2011,Fully Paid,Wedding Expenses,CA
17000, 36 months,6.03%,A,A1,,n/a,MORTGAGE,61200,Source Verified,11/1/2011,Fully Paid,get debt free,NY
2400, 36 months,7.90%,A,A4,Crow Friedman Group,3 years,RENT,63300,Not Verified,11/1/2011,Fully Paid,CC Refinance,GA
10000, 36 months,10.65%,B,B2,Dimensional Fund Advisors,2 years,MORTGAGE,89000,Verified,11/1/2011,Fully Paid,Kitchen Remodel,TX
14000, 36 months,6.62%,A,A2,UT Southwestern/Neuroscience,10+ years,RENT,55000,Verified,11/1/2011,Fully Paid,Refinance Lending Loan,TX
6700, 36 months,10.65%,B,B2,,3 years,MORTGAGE,40000,Verified,11/1/2011,Fully Paid,Consolidation,FL
7000, 36 months,19.03%,E,E2,US Army,5 years,OWN,46800,Source Verified,11/1/2011,Charged Off,Loan,MI
9000, 36 months,7.51%,A,A3,UC Berkeley,4 years,RENT,46000,Not Verified,11/1/2011,Fully Paid,BOA Refinance,CA
7400, 60 months,17.58%,D,D4,DoD Civilian,10+ years,MORTGAGE,63478,Verified,11/1/2011,Fully Paid,11-Nov,VA
14500, 60 months,18.64%,E,E1,City of Norfolk,2 years,MORTGAGE,39300,Not Verified,11/1/2011,Charged Off,Fast Track Repayment,VA
16950, 36 months,18.25%,D,D5,Lakeview Subacute Care Center,2 years,RENT,55000,Verified,11/1/2011,Fully Paid,My Debt,NJ
3600, 36 months,15.27%,C,C4,Tourico Holidays,2 years,RENT,18000,Not Verified,11/1/2011,Fully Paid,debt_consolidation loan,FL
15000, 36 months,18.25%,D,D5,E. & J. Gallo Winery,5 years,RENT,64000,Verified,11/1/2011,Fully Paid,debt_consolidation loan,NJ
24000, 60 months,17.58%,D,D4,American Sleep Centers,5 years,MORTGAGE,160000,Source Verified,11/1/2011,Fully Paid,Debt Consolidation,CA
4950, 36 months,11.71%,B,B3,Phillips Plastics,10+ years,MORTGAGE,19200,Source Verified,11/1/2011,Charged Off,debt_consolidation loan,WI
5875, 36 months,12.69%,B,B5,Sustainable Soil Solutions,4 years,RENT,40000,Not Verified,11/1/2011,Fully Paid,consolidation,OR
20000, 60 months,18.64%,E,E1,"Clinical Research Management, Inc",5 years,RENT,57000,Verified,11/1/2011,Fully Paid,consolidation,MD
10000, 36 months,6.03%,A,A1,Sikorsky Aircraft Corporation,3 years,RENT,102000,Verified,11/1/2011,Fully Paid,Wedding Loan,CT
3000, 36 months,16.29%,D,D1,,n/a,RENT,16080,Verified,11/1/2011,Fully Paid,Vacation Loan ,CA
25000, 60 months,23.91%,G,G4,Wyndham Vacation Ownership,7 years,RENT,200000,Source Verified,11/1/2011,Fully Paid,Loan,FL
35000, 60 months,12.42%,B,B4,Ford Motor Company,10+ years,MORTGAGE,109592,Verified,11/1/2011,Charged Off,Debt Consolidation,NY
12000, 60 months,18.25%,D,D5,Morton Plant Hospital,7 years,RENT,64000,Not Verified,11/1/2011,Fully Paid,Other,FL
5000, 36 months,6.03%,A,A1,Glory USA Inc.,10+ years,MORTGAGE,95000,Not Verified,11/1/2011,Fully Paid,Debt Consolidation Loan,CA
5825, 36 months,6.62%,A,A2,Bank of America,< 1 year,RENT,12000,Not Verified,11/1/2011,Fully Paid,Personal,CA
2000, 36 months,7.90%,A,A4,DJO GLOBAL,2 years,MORTGAGE,30000,Not Verified,11/1/2011,Fully Paid,House repair-credit card payoff,MN
17500, 60 months,11.71%,B,B3,Brilliance Audio,3 years,MORTGAGE,35000,Verified,11/1/2011,Fully Paid,Prospect Rental,MI
30000, 60 months,13.49%,C,C1,"McCarthy, Inc.",10+ years,MORTGAGE,60000,Verified,11/1/2011,Fully Paid,home improvement / upgrades,GA
12500, 36 months,7.90%,A,A4,Banner Gateway Medical Center,7 years,MORTGAGE,70000,Not Verified,11/1/2011,Fully Paid,pay off faster and wiser,AZ
